signature	mean_A	mean_B	p_ttest	p_wilcox	p_ttest_Bonf	p_ttest_BH	p_wilcox_Bonf	p_wilcox_BH	n_samples	n_mutations	additional_sig	frac_extra	seed	amsd_p	replicate	param_set	run_id
SBS46	0.448	0	0.0265006456896505	0.0244176084831494	1	0.605489206354966	1	0.588862129929592	125	50	SBS40	0.02	1756169346	0.408	7	9	87
SBS5	21.008	22.792	0.058488410955441	0.203294191680512	1	0.622814797907597	1	0.668090852865573	125	50	SBS40	0.02	1756169492	0.473	8	9	88
SBS15	1.6	0.64	0.0414234754537271	0.047128310914743	1	0.64099138876026	1	0.573923516149831	125	50	SBS40	0.02	1756169623	0.869	9	9	89
SBS10b	0.928	0.144	0.000872442532748032	0.0010456675863971	0.0488567818338898	0.0488567818338898	0.0585573848382376	0.0585573848382376	125	50	SBS40	0.02	1756169749	0.409	10	9	90
SBS5	20.024	23.856	0.000156333538090794	0.000893221401031013	0.00891101167117529	0.00891101167117529	0.0509136198587678	0.0509136198587678	125	50	SBS40	0.05	1756169869	0.038	1	10	91
SBS29	0	0.44	0.0284804383248719	0.0244176084831494	1	0.500458400535161	1	0.490248854582531	125	50	SBS40	0.05	1756169998	0.116	2	10	92
SBS50	0	0.272	0.046187252953724	0.0446342734153071	1	0.572462522371968	1	0.538536219273642	125	50	SBS40	0.05	1756170132	0.582	3	10	93
SBS5	20.896	23.384	0.0109719880389742	0.00938876183466777	0.647347294299475	0.647347294299475	0.553936948245399	0.553936948245399	125	50	SBS40	0.05	1756170261	0.565	4	10	94
SBS7c	0.216	0	0.0467041084276009	0.0446368751573411	1	0.67500399201837	1	0.63329732074098	125	50	SBS40	0.05	1756170390	0.052	5	10	95
SBS37	0.536	0	0.0292287722590103	0.0244176084831494	1	0.519934367846628	1	0.510154236577627	125	50	SBS40	0.05	1756170517	0.431	6	10	96
SBS59	0	0.176	0.0459553489713553	0.0446360079063572	1	0.650340258677556	1	0.633286528113821	125	50	SBS40	0.05	1756170650	0.297	7	10	97
SBS5	20.784	23.992	0.00456690455377715	0.0069820353361926	0.264880464119075	0.210807605496187	0.404958049499171	0.376945438406821	125	50	SBS40	0.05	1756170781	0.45	8	10	98
SBS58	0	0.56	0.0154938930240578	0.0134761858010915	0.867658009347235	0.558701404045719	0.754666404861122	0.499640595091775	125	50	SBS40	0.05	1756170914	0.591	9	10	99
SBS15	2.4	1.352	0.0628605599144167	0.0575372135987023	1	0.638515890337964	1	0.603097069898023	125	50	SBS40	0.05	1756171042	0.473	10	10	100
SBS5	21.304	25.304	0.000301764495453914	0.00024632353473588	0.0181058697272348	0.0181058697272348	0.0147794120841528	0.0147794120841528	125	50	SBS40	0.1	1756171158	0.48	1	11	101
SBS5	20.656	24.992	1.59151028978558e-05	2.06227426610338e-05	0.00103448168836063	0.00103448168836063	0.0013404782729672	0.0013404782729672	125	50	SBS40	0.1	1756171283	0.029	2	11	102
SBS19	0.44	0.056	0.0229935569756992	0.0179890381304965	1	0.52677560952882	1	0.496986030492473	125	50	SBS40	0.1	1756171409	0.026	3	11	103
